file,SVM,NN,Ada,GPR,SGD,KNR,DTR,RFR,ExTR,GBR,XGB
DTLZ2_30var_2obj_350samples_normal.csv,0.40756353581672533,0.3733029607625544,0.49699201956209826,0.08871317802492829,0.1274757281679002,0.09870259290158523,-0.4626332502573074,0.4591349709354471,0.48306450710410254,0.38135221111444384,0.43545678297583057
DTLZ1_30var_2obj_150samples_uniform.csv,-0.09723808173888604,-2.0136077106047967,0.8209321559052323,0.4719127956782936,0.6441091966661396,0.2226529645204699,0.6139206043716147,0.8245773341320657,0.8225111708238886,0.7818363636841438,0.7853081584851804
DTLZ2_20var_2obj_100samples_uniform.csv,0.584586650741101,-0.4084128569680108,0.8143949372649226,0.35936899206272166,0.5987916270288195,0.4345917352329072,0.7300196998294854,0.8359140357622542,0.8949753622214756,0.7781743619863266,0.7898941640327231
DTLZ4_10var_2obj_250samples_uniform.csv,-0.20385622735014453,-0.47421462584811525,0.07373934356439782,-0.9039669953313618,0.007294140182556252,-0.25683006009845166,-0.9847586271277677,-0.05334262497470221,0.03950462308951208,-0.3185234179477743,-0.054915037161388236
DTLZ5_10var_2obj_1500samples_normal.csv,0.4148648549893261,0.49625766807223004,0.45658605752419434,-9.871845096706862,0.25022994679337995,0.33832084519420835,-0.002697046673901582,0.508418899630223,0.4883096456631385,0.509439658060646,0.41247679847527197
DTLZ1_10var_2obj_500samples_uniform.csv,0.07099046830350653,-1.0003521257754695,0.6829378055217767,-0.07227322371189393,0.6997793191912938,0.5288672188782313,0.4496968995661188,0.6774045416129357,0.6927775041010922,0.6447858091240701,0.6225595784573026
DTLZ6_10var_2obj_250samples_uniform.csv,0.7965337931477996,0.45482377220821124,0.911772224944055,0.7408253478643835,0.889568020148069,0.7177834303767944,0.8400381649181672,0.9161132581579722,0.9138078517881109,0.9022172558948297,0.8917277294177006
DTLZ2_20var_2obj_900samples_uniform.csv,0.7665118227259893,0.8066435806914511,0.8033097637220534,0.6930967804743327,0.7885945745402902,0.4724330078156558,0.6227311332638532,0.8221003351007441,0.8298043470742881,0.8189825798906079,0.8004252560466592
DTLZ6_10var_2obj_2000samples_uniform.csv,0.8494691819962793,0.8652694578274227,0.8707237847684731,0.26166052635723414,0.8419927804061852,0.7501827673751549,0.7516310868563181,0.8759474442381373,0.874945061558099,0.8823132693836266,0.8508229788716736
DTLZ1_30var_2obj_400samples_uniform.csv,-0.01801678199275547,-1.11279209178582,0.8174579862340797,0.4763943704416389,0.7551924283617012,0.33748227713447154,0.6993685736454052,0.8312016967917221,0.848296119105642,0.8265549506993137,0.795173175072916
DTLZ7_10var_2obj_100samples_normal.csv,0.4528481163022149,0.4676082209443785,0.3807980898042832,-1.5102738137216623,0.6047742329403833,0.417364270507646,0.15158802494127321,0.3085034220265699,0.34119896050169574,0.44821149457056997,0.41701891158222326
DTLZ2_10var_2obj_900samples_normal.csv,0.4056826693265606,0.4847170850995566,0.4880187280875037,-4.576053304916257,0.2416781934316119,0.28127597806881877,-0.07687805566674233,0.47954372762809816,0.468724752836325,0.49248058284109486,0.38850749894148073
DTLZ1_30var_2obj_100samples_normal.csv,-0.24359784116812389,-11.918632315896717,0.27761391395741686,-0.17400075328746012,-0.0073332995249786315,0.028601146276913902,-0.26159590903450836,0.2877072949723114,0.31457109675653583,0.21410801592115214,0.43271440822415963
DTLZ7_30var_2obj_250samples_normal.csv,0.30010002031344485,-0.10052014572172374,0.2562724695272095,-4.495880873275078,0.02375247871212882,0.10725092664555436,-0.42831299552943913,0.3142156817079025,0.2740146237190946,0.2773472782295867,0.21329547884478894
DTLZ4_20var_2obj_1200samples_normal.csv,-0.1944047174627448,-0.2232875218088919,-0.11637618347668366,-2.2853369975021076,-0.004646232992510102,-0.29624644229327424,-1.6470202194593546,-0.10656059157425402,-0.0808007891171334,-0.19298526294069407,-0.20337801376669074
DTLZ4_20var_2obj_900samples_uniform.csv,-0.018485323655351937,-0.06043992698063905,0.001023542749842954,-0.20043109289714178,0.027544655530760576,-0.08057631805108456,-0.9599905349157738,-0.0005421298999157553,0.05468257824178957,-0.14303316978580116,-0.29866726978541625
DTLZ7_10var_2obj_150samples_normal.csv,0.4454868723953542,0.4760767421404565,0.4181367573534943,-0.37524387855431973,0.5249446721793375,0.2969946247658818,0.059004722372155705,0.4218821790804157,0.41763934402321135,0.5522100976382254,0.372509322292355
DTLZ4_20var_2obj_250samples_normal.csv,-0.009625862775346272,-0.37800635261086435,-0.16181639460557817,-0.7802043931296578,-0.008735343369538962,-0.143599685284878,-0.7883241439522122,-0.06262281678025605,-0.04083896226868888,-0.09152980171052061,-0.22479094032990576
DTLZ4_30var_2obj_300samples_normal.csv,-0.13555842344070546,-0.3441256439498366,-0.04114976952426885,-0.5351454436231269,-0.017877037361288428,-0.4871106634086586,-0.936133933922461,-0.0023281778089683236,-0.053749097750769526,-0.268798366780689,-0.169139460533968
DTLZ2_10var_2obj_600samples_normal.csv,0.2782481888422632,0.3645942712041639,0.3292267972143089,-5.572813079080105,0.12163015122038157,0.1629709555680432,-0.05196580403793494,0.36610085282375937,0.33012010438796313,0.3875974982607753,0.2841103865185022
DTLZ4_30var_2obj_150samples_uniform.csv,0.06851563782403292,-0.03218110019699494,0.0012546340590555705,0.03548777701137795,0.017452693215228354,-0.09722667366929683,-0.12145889506683716,0.020180396646018672,0.12023160164072344,-0.016239073307836138,-0.22284250225498003
